,text,label
0,Cry harder jew lover,1
1,@MaxBlumenthal Nothing than worse than a pathetic self loathing jew,1
2,Break that fucking jew,1
3,how long until we find out it was another jew,1
4,"@bellewriter @Inquirer2676 @gabby_werner Only if he's a Jew, apparently",1
5,@marklevinshow Did u like Omar? She hates you jew,0
6,@lulutifah Labour again standing proud for the Muzzie but not the Jew!,1
7,@AdamFriedland You.. asshole.. are one fugly Jew: https://t.co/BrGjnv5IZH,1
8,@Zain_MB Loooll the jew cunts rich,1
9,@FleeceRodgers @PlayoffSkinz @Supr3me_Jay Your still my favorite Jew,1
10,@ReyCancer27 @ramzpaul @citizens_to Oh look a lying Jew,1
11,A Jew invovled in degenerate sexual exploitation...get out,1
12,That’s like a Jew agreeing with Auchwitz,0
13,"@tom21437765 @Mersh The Jew.... Jumped over yet bag of skekels?

What are you trying to say bitch?",1
14,@flatearthpierre Good!!! More jew!!!!,0
15,"@UncleVladi @Jaccuse1 @Africns @just_mindy @gfreemanbitmex @carlmarxholiday @raaadaniel @CalebJHull @IlhanMN Lol, Isreal ≠ Jew.",0
16,"And this offends you as a Jew?
No, it offends me as a comedian.",0
17,@emilyfmayer Jew by lineage only,0
18,@MattDidius77 @guardian @Maomentum_ Marx was a jew.,1
19,@StuSource Jew on Jew crime? Shame on you Stu,0
20,@apnkjew follback jew! :3,1
21,@Enurjey Mass following jew,1
22,A new Jew?  U a weird bathing in fire,1
23,"@FMillieg @nytimes Hello, Jew",1
24,may go back to being a jew,1
25,@mariakrysoula @TheTurtleClub @SusanLiTV @AOC Are you a rich Jew?,1
26,"@NotAbouThatBase well that there would be (((Jared kushners))) waifu, a jew naturally",1
27,@Mersh That jew dolev is killing the bears,1
28,Raskin...bald headed...another obnoxious jew,1
29,@LedZepFan66 The first step is to name the Jew and their collaborators.,1
30,Food Borning Jew Pork!,1
31,@PeppyisaRat my favorite Jew. 💛,1
32,@NASCARNAC @Kpdblu101 @HouseCracka @KudzuCarl Some jew.ish broad from Nevada.,0
33,@damianmarley gratitude holmes next generation ice mountain jew performers !!!,0
34,@syiranatasha Huhuhu beshe beshe jew,0
35,@Doc_Atiga Lab U baby jew,0
36,@TheDailyShow This is funniest thing to come from the daily show since the Jew left.,0
37,"not a Jew eyes? hath not a Jew hands, organs,",1
38,@TheEuropeanMan1 @dasjudge What a surprise. He's a Jew.,1
39,@unrealAnnaAdams @Kambearoz_rocky @LucaBrasiTX He's an anarchist. Apparently YOU don't know what a Jew is.,0
40,@adamemir_ femes untuk you jew,1
41,"@ZerlinaMaxwell Dave Zirin; As a Jew, I want to welcome anyone who wants to criticize a lobbying coalition funded b… https://t.co/pqYJV72dwz",0
42,He is a Jew isn't he? https://t.co/ZUOQDgOs6q,1
43,@NTHegarty1 @DavMicRot @peterbakernyt @AnnieLinskey @AmyEGardner Davod benefits from Jew privlege.,1
44,@polirical @MiriamElder Said no Jew on Twitter,0
45,Miz Cracker's Review with a Jew - AS4 E09 Feat. Latrice! https://t.co/7WFOTFwarY,0
46,@stonversion100 @OwenComedy All over that jew @DolevBroughton,1
47,Unironically agree with the Jew here.,1
48,"@tomwatson 😆😆😆😆😆😅😅😅😅😂😂😂😂😂🤡🤡🤡🤡🤡🤡🤡🤡🤡
Bernie never lied about being a Jew. He never claimed another heritage. Warren i… https://t.co/Nau11zdKmq",0
49,"@davidclewis For the many not the few,
unless of course you are a Jew",1
50,"@RealJamesWoods Is it because he is a Jew, alleged ?",1
51,"@Loki_Leigh No jew, she was shot",1
52,@hannahtraining @edzitron Quoting The International Jew to own Putin,1
53,"@ToubeDavid Asa Winstanley
As a Jew
See the common thread?",0
54,@skimcasual Lmao! She codes as a New York Jew.,1
55,Purpp said get smoked like a jew💀,1
56,"@SusanRi38784627 @Michael_Heaver @Polarsphere @sajidjavid Labour - for the Muslim, not the Jew.",1
57,@ASavageNation A little confused. Do you not like a fellow Russian Jew?,1
58,"The fake jew conservitise are piding themselfes on a room full of whites in alabama, ZERO ethnic people in the room… https://t.co/vUC0QErqAK",1
59,"@BlackXList @RandyS0725 @DostoevskyFan @SFGate It's exactly what happened, my fellow Jew.",0
60,@historylvrsclub He probably thought he saw me or another jew,0
61,@NYRogerStern Probably another example of a Jew striking itself,1
62,"@AKARELK @CadenBraylen To these people.
.
.
.
.
.
.
.
.
.
.

Just say Jew. Just say it.",1
63,"i been on the wealhy white$ jew$ asian$ malpractice diet so long, i forgot how sexual food is",0
64,@Xannyyy___ @Goldyy77_ Xanny u spam crouch all thr time shur up you jew,1
65,@chicagotri1406 @ceastwoo @MatthewGWhit @peterjhasson @realDonaldTrump ...his butt a Jew. 🙄,1
66,@AkhyaarSaid @tariqnasheed Ashkenazi Jew,0
67,"@soledadobrien Another Leftist activist posing as a Journalist. Somedad, as A Jew I say this, shut ur mouth",0
68,"@depraved_mutant @KnightsSTEMplar &gt;water

You mean jew liquid?",0
69,@surayahwhite Isn't Bernie Sanders a jew?,1
70,@PaulBrandITV Corbyn? Silencing a Jew? Surely not!,1
71,@Don_AlaS ok jew,1
72,@RifqiSaufi ok jew,1
73,@Shmtnk ok jew,1
74,jeff goldblum. we stan a DILF jew,1
75,"@daniel_pluen lubb you buddy 😓 wouldnt know my english without you, jew 😓",1
76,Jewelrymaker gives art demo at Caron Gallery https://t.co/IFo17TuBIV https://t.co/MMxXScEiq4,0
77,"Hey @RealCandaceO fuck you

Sincerely,

A Jew",0
78,@Roewoof This wicked Jew agrees with you.,1
79,@perry777777 when a Jew robs you he fucks with your whole world,1
80,@GarryAbbott @JesusVChrist @tribe_iceni @RSPCA_official Revel in your Jew bigotry 👍🏻,0
81,@Jake38109894 So you’re asserting that he IS a Jew?,1
82,The Jew yells out in agony as they strike you.,1
83,"@JacobAWohl @realDonaldTrump Jew Shutup,",1
84,"@Rachael_Swindon For the many, not the jew",1
85,"@sshiro Dank new track for the jew?
Also your album regret is amazing.",0
86,@yaakovkatz @KWyszkowski @MorawieckiM @netanyahu Hitlers father was a jew,1
87,@dawn_dknapp2 @isaiah_kb @seriousky @MrDane1982 You do not have to practice anything in particular to be a Jew.,0
88,@LaughingDevil1 For the many not the Jew seems appropriate right about now,1
89,Crypto Jew Putin: 80 to 85% Jews in 1st Soviet Government. https://t.co/mjm6zGbDQU via @YouTube,1
90,Fuck off jew,1
91,"@Brush_Yo_Teeth goodbye owen, u salty jew",1
92,@jamesm_arshall you're from harraby shut up you jew,1
93,"@HikindDov @IlhanMN @SenSchumer @RepJerryNadler @RepEliotEngel @RepAdamSchiff @DWStweets As a Jew, I don't see anyt… https://t.co/uRFFiYd43d",0
94,The only Jew i fuck with is @soulkhan,0
95,@Uni_of_Essex As long as you are not a Jew. Racist institution.,0
96,@TurkeyTom @VincentHatesGod @ItsReactor Don't give them ideas Turkey Jew,0
97,He was attacked for being a Jew. https://t.co/v0ypudlENl,0
98,👍 on @YouTube: Miz Cracker's Review with a Jew - AS4 E09 Feat. Latrice! https://t.co/5xv0AxDkCZ,0
99,"@bbcpm

Jews
Every
Single
Time",1
100,@Yair_Rosenberg Ilhan supporter: Quick! Get me an as-a-Jew!,0
